state_name,year,ad_pct,anxiety_pct,depression_pct,STATEFP
Alabama,2020,30.3,25.6,18.6,01
Arizona,2020,36.4,32.3,22.4,04
Arkansas,2020,38,33.7,26.6,05
California,2020,37.4,30.8,25.4,06
Colorado,2020,35.9,32.6,22,08
Connecticut,2020,40.2,34.9,24.4,09
Delaware,2020,34.7,29.9,21.1,10
District of Columbia,2020,37.6,31.4,26.4,11
Florida,2020,36.8,32.6,22.5,12
Georgia,2020,36.2,31.9,25.6,13
Idaho,2020,33.3,26.9,20.6,16
Illinois,2020,36.6,31.1,23.3,17
Indiana,2020,37.8,31.8,26.4,18
Iowa,2020,28.2,22.5,16.5,19
Kansas,2020,32.5,26.4,22.1,20
Kentucky,2020,36.4,31.6,23.2,21
Louisiana,2020,38.9,34.4,28.1,22
Maine,2020,34.3,29.5,19.5,23
Maryland,2020,32.9,27.7,20.9,24
Massachusetts,2020,40.6,37,25.9,25
Michigan,2020,39.4,32.5,25.5,26
Minnesota,2020,32.4,28.5,20.4,27
Mississippi,2020,34.5,30.3,22.9,28
Missouri,2020,35.2,30.4,21,29
Montana,2020,27.3,22.8,18.2,30
Nebraska,2020,28.6,24.2,19.1,31
Nevada,2020,34.8,31.4,23.6,32
New Hampshire,2020,34.8,31.3,19.5,33
New Jersey,2020,37.6,31.4,23.6,34
New Mexico,2020,34.6,27.9,22.4,35
New York,2020,41.4,36.1,28.7,36
North Carolina,2020,34.6,30,21.1,37
North Dakota,2020,27.7,21.7,17,38
Ohio,2020,35.1,31.1,21.2,39
Oklahoma,2020,34.1,28.6,20.8,40
Oregon,2020,36.8,31.5,22.5,41
Pennsylvania,2020,35.1,31,24.7,42
Rhode Island,2020,34.4,27.6,24.5,44
South Carolina,2020,33.3,27.8,21.6,45
South Dakota,2020,25.6,22.1,17.5,46
Tennessee,2020,33.4,28.2,22.2,47
Texas,2020,34.9,29.7,24.4,48
Utah,2020,34.7,28.9,22.9,49
Vermont,2020,33.9,30.6,20.7,50
Virginia,2020,33.7,28.5,21.5,51
Washington,2020,35,30.6,22.1,53
West Virginia,2020,34.3,28.8,23.4,54
Wisconsin,2020,31.1,27.1,22,55
Wyoming,2020,31,24.9,18.9,56
Alabama,2021,33.3,28.1,27.3,01
Arizona,2021,29.9,25.8,20.4,04
Arkansas,2021,35.5,29.9,27.2,05
California,2021,33,28.5,23.1,06
Colorado,2021,30.8,25.7,21.3,08
Connecticut,2021,29.4,25.8,18.2,09
Delaware,2021,30.8,26.3,23.1,10
District of Columbia,2021,30.6,25,21,11
Florida,2021,32.9,29.2,25.7,12
Georgia,2021,29.5,26,23,13
Idaho,2021,25.8,23,17.7,16
Illinois,2021,29.8,26.6,21.2,17
Indiana,2021,27.4,24.3,20.4,18
Iowa,2021,27.7,25.2,19.5,19
Kansas,2021,29.7,25.7,21.7,20
Kentucky,2021,35.2,30.8,25.3,21
Louisiana,2021,34.3,30.4,26,22
Maine,2021,27.3,23.3,18.9,23
Maryland,2021,27.7,22.6,18.4,24
Massachusetts,2021,29,24.3,19.1,25
Michigan,2021,31,26.3,20.7,26
Minnesota,2021,24.1,20.8,14.9,27
Mississippi,2021,25.7,19.1,16.1,28
Missouri,2021,30.9,26.5,20.8,29
Montana,2021,24.1,21.7,17.8,30
Nebraska,2021,31.6,28.5,20.3,31
Nevada,2021,29.2,24.2,21.3,32
New Hampshire,2021,26.3,23.3,14.6,33
New Jersey,2021,27.8,23.3,20.6,34
New Mexico,2021,28.4,25.4,20.4,35
New York,2021,31.6,27.4,21.2,36
North Carolina,2021,33.5,29.6,23.4,37
North Dakota,2021,24.8,21.7,16.7,38
Ohio,2021,31.8,25.8,23.9,39
Oklahoma,2021,34.3,29.7,23.3,40
Oregon,2021,32.4,27.8,23.9,41
Pennsylvania,2021,27.3,23.6,19.5,42
Rhode Island,2021,24.5,21.6,14.9,44
South Carolina,2021,30,25.7,20.7,45
South Dakota,2021,24.4,23,19.8,46
Tennessee,2021,29.8,25.2,22.3,47
Texas,2021,33.1,28.3,23.9,48
Utah,2021,30.1,25.8,21,49
Vermont,2021,28,24.6,20.5,50
Virginia,2021,27.3,24,19.4,51
Washington,2021,32.6,28.3,22.7,53
West Virginia,2021,31,27.6,24.8,54
Wisconsin,2021,26.4,20.5,19.7,55
Wyoming,2021,27.2,25.3,16.4,56
Alabama,2022,31,27.4,23.1,01
Arizona,2022,29.4,25.7,20.4,04
Arkansas,2022,28.3,26,20.4,05
California,2022,33.1,28,23.9,06
Colorado,2022,24,20.9,15.9,08
Connecticut,2022,30,24.9,19.5,09
Delaware,2022,24.2,21.9,14.9,10
District of Columbia,2022,26.8,25.3,17.8,11
Florida,2022,28.3,22.9,20.5,12
Georgia,2022,29.4,24.7,21.3,13
Idaho,2022,29.2,26.3,22.3,16
Illinois,2022,29.7,26.3,18,17
Indiana,2022,28.7,24.5,21.8,18
Iowa,2022,28,24.8,19,19
Kansas,2022,27.8,26.1,18.8,20
Kentucky,2022,35.8,32.8,25,21
Louisiana,2022,30.6,28.4,20,22
Maine,2022,30.5,27.2,19.5,23
Maryland,2022,28,24.9,17.4,24
Massachusetts,2022,30.6,26.9,21.1,25
Michigan,2022,31.9,27.6,22.3,26
Minnesota,2022,27.3,23.2,19,27
Mississippi,2022,38,31.6,28.1,28
Missouri,2022,31.7,28.3,22.9,29
Montana,2022,32.3,27.9,19.6,30
Nebraska,2022,28.9,25.8,19,31
Nevada,2022,30.1,25.7,22.4,32
New Hampshire,2022,31.9,30,21.6,33
New Jersey,2022,29.8,26.4,21.2,34
New Mexico,2022,32.4,26.1,24.2,35
New York,2022,32,27.9,25.5,36
North Carolina,2022,28.1,25.5,20.8,37
North Dakota,2022,29.8,26.3,20.5,38
Ohio,2022,28.2,24,18.8,39
Oklahoma,2022,38,31.4,30.3,40
Oregon,2022,32.6,28.8,21.7,41
Pennsylvania,2022,31.5,27.9,23.4,42
Rhode Island,2022,25,22.1,15.7,44
South Carolina,2022,30.8,27,22.6,45
South Dakota,2022,19.2,16.3,14.6,46
Tennessee,2022,32.1,27.6,22.9,47
Texas,2022,34.1,30,25.9,48
Utah,2022,36.9,31.9,24.8,49
Vermont,2022,25.6,22.6,18.3,50
Virginia,2022,30.2,25.7,19.3,51
Washington,2022,34.3,29.8,23.2,53
West Virginia,2022,31,26.9,23.8,54
Wisconsin,2022,26.7,22.8,19.2,55
Wyoming,2022,26.7,22.8,18.7,56
Alabama,2023,37.9,30.6,28.8,01
Arizona,2023,30.4,26.2,20.6,04
Arkansas,2023,35.3,30.9,22,05
California,2023,33.9,29.7,22.8,06
Colorado,2023,30.4,27,17.4,08
Connecticut,2023,28.7,25.3,18.9,09
Delaware,2023,27.4,21.7,19.4,10
District of Columbia,2023,23.6,19.2,11.9,11
Florida,2023,30.5,26.6,21,12
Georgia,2023,34.6,29.6,23.6,13
Idaho,2023,37.1,33.2,26.2,16
Illinois,2023,33.3,29.9,23.3,17
Indiana,2023,33.5,27.9,23.2,18
Iowa,2023,27.2,24.4,18.3,19
Kansas,2023,31.5,27.8,21.1,20
Kentucky,2023,35.7,29.1,26.5,21
Louisiana,2023,34.7,30,23,22
Maine,2023,28.9,26.4,16.6,23
Maryland,2023,27.4,23.9,16.6,24
Massachusetts,2023,31.5,26.3,20.1,25
Michigan,2023,33.6,27.6,21.7,26
Minnesota,2023,27.8,23.5,20.4,27
Mississippi,2023,42.9,39.4,29.8,28
Missouri,2023,35.1,30.4,25.4,29
Montana,2023,30.2,24.1,20.2,30
Nebraska,2023,30.9,24.9,21.3,31
Nevada,2023,35,30,23.4,32
New Hampshire,2023,32.9,30.1,19.2,33
New Jersey,2023,35,29.9,20.2,34
New Mexico,2023,32,29.3,20.1,35
New York,2023,29.2,24.9,18.2,36
North Carolina,2023,29.8,24.3,20.4,37
North Dakota,2023,31.8,27.3,18.1,38
Ohio,2023,32.8,29.9,22.8,39
Oklahoma,2023,38.2,34,26.2,40
Oregon,2023,31.2,27.4,19.9,41
Pennsylvania,2023,29.9,25.3,21.3,42
Rhode Island,2023,30,26.9,17,44
South Carolina,2023,29.9,23.8,20.4,45
South Dakota,2023,29.5,25.6,18.2,46
Tennessee,2023,33.6,27.8,23.3,47
Texas,2023,34.5,28.7,24.5,48
Utah,2023,36.6,33.3,22.9,49
Vermont,2023,25.7,23.2,15.4,50
Virginia,2023,29.7,25,19.6,51
Washington,2023,31.2,26.2,21.2,53
West Virginia,2023,33.2,30.6,25.1,54
Wisconsin,2023,27.5,23.2,20.3,55
Wyoming,2023,34.1,28.8,27.5,56
Alabama,2024,20.8,16.5,14.8,01
Arizona,2024,23.1,19.3,14.9,04
Arkansas,2024,23.2,20.4,16.2,05
California,2024,21.2,16,14.4,06
Colorado,2024,22.6,19.4,12.3,08
Connecticut,2024,19.4,16.5,12.2,09
Delaware,2024,19.8,17.9,9.2,10
District of Columbia,2024,15.5,12.9,10.3,11
Florida,2024,21.6,18.1,14.6,12
Georgia,2024,22.2,18.4,14.4,13
Idaho,2024,20,16,12.9,16
Illinois,2024,19.1,16.2,11.6,17
Indiana,2024,23.7,19.7,16.3,18
Iowa,2024,21.7,19.2,12,19
